id,screen_name,name,description,image,followers_count,friends_count
14627400,RedHat,"Red Hat, Inc.","The leading provider of enterprise open source solutions, using a community-powered approach to deliver Linux, cloud, container, and Kubernetes technologies.",http://pbs.twimg.com/profile_images/1123557710191001600/oMQc_xqN_normal.png,231017,1127
14800270,HarvardBiz,Harvard Business Review,"The best ideas in business and management to help people, organizations, and economies work better.",http://pbs.twimg.com/profile_images/1249778961229516806/8v45jDln_normal.png,5731395,216
15460048,MIT,Massachusetts Institute of Technology (MIT),The Massachusetts Institute of Technology is a world leader in research and education. Related accounts: @MITevents @MITstudents @MIT_alumni,http://pbs.twimg.com/profile_images/927969888672632838/CZxYHc74_normal.jpg,1185343,564
159588456,NASA_Technology,NASA Technology,"Technology drives exploration to the Moon, Mars & beyond. We’re building transformative tech for future missions and providing solutions on Earth and in space.",http://pbs.twimg.com/profile_images/1074223648/nasalogo_twitter_normal.jpg,955074,603
238285207,NASASTEM,NASA STEM,"Keeping you up-to-date with learning resources that connect teachers, students, parents and caregivers to the inspiring work NASA is doing.",http://pbs.twimg.com/profile_images/1221873665/nasalogo_twitter_normal.jpg,349107,161
45891623,safiyanoble,Safiya Umoja Noble PhD,"2021 #MacFellow | Founder https://t.co/QPs1yoIUkh, Author (https://t.co/vjaghee4sr), @UCLA Professor, Director @C2i2_UCLA, Co-Director @minderoo Initiative Tech & Power",http://pbs.twimg.com/profile_images/1139938575401672705/FWYb2BIq_normal.jpg,63771,16906
117780256,efipm,Dr Efi Pylarinou,"Thought leader & Influencer 
No.1 woman Finance #RefinitivSocial100 
Top #Onalytica Fintech
Top 50 WomenInTech #AwardsMag
https://t.co/cBWsrWtgk4
#Fintech #Blockchain4Finance",http://pbs.twimg.com/profile_images/1375411586316316677/heZj98hJ_normal.jpg,16247,8010
1674589274,ChuckDBrooks,Chuck Brooks,"Thought Leadership: #cybersecurity, #emergingtech, #IoT, #AI #Gov FORBES Contributor, Georgetown U Professor, Named A Top Tech Person To Follow On LinkedIn.",http://pbs.twimg.com/profile_images/378800000572230883/19ccad9100818b791729323808a1bee9_normal.jpeg,16763,7678
3131243261,sallyeaves,Dr. Sally Eaves #MWC22,Innovating #tech #education #business CEO CTO Advisor Prof #AI #Cloud #IoT #5G #TechForGood #FinTech #SDGs #STEM #Sustainability #CES2022,http://pbs.twimg.com/profile_images/1121083861520326656/X6NEB7hZ_normal.jpg,125671,102463
839338759330152453,YuHelenYu,Helen Yu,#DigitalTransformation obsessed #CXO and #GrowthHacker. Find me at the intersection of #Tech and #Humanity. #AI #Blockchain #FinTech #CX #IoT #CyberSecurity,http://pbs.twimg.com/profile_images/1421532831839399944/c-Wl32LB_normal.jpg,40838,17311
18028509,tom_peters,Tom Peters,"Reader/student/people watcher/writer/speaker//Navy Seabee RVN vet/frustrated “people & community first"" maniac who can’t comprehend those who “don’t get it”",http://pbs.twimg.com/profile_images/509454796042928128/Db2nYm-L_normal.jpeg,171954,10325
14886596,joemckendrick,Joe McKendrick,"Pondering disruption, tech & otherwise, with both optimism & skepticism. Analyst/contributor: Forbes, ZDNet, Information Today, RTInsights. Army brat.",http://pbs.twimg.com/profile_images/3512965614/f07ff67cee5d5b87a5303670ba0bba3a_normal.jpeg,14703,6695
47998818,CFair1,Caroline Fairchild,Editor at Large @LinkedInNews focused on equitable workplaces & Host LinkedIn News Live. Founder of @FortuneMagazine’s The Broadsheet. Forever @DukeU.,http://pbs.twimg.com/profile_images/1371541032718848002/BniCTRI3_normal.jpg,9700,1540
3305994116,_SueSiegel,Sue Siegel,"Inquisitive life-long learner. Passionate about unlocking potential in talent, teams and technology. Proud mom, wife, mentor. Happy hiker. Unapologetic dancer.",http://pbs.twimg.com/profile_images/628539959406825472/ToBn9ksB_normal.jpg,4307,1928
46812288,sbp04,Stacy Brown-Philpot,CEO @TaskRabbit. Passionate about supporting young women in tech. Consumer products enthusiast. Mom. Detroit native.,http://pbs.twimg.com/profile_images/618460944/ME_normal.jpg,5886,201
257354839,byHeatherLong,Heather Long,@WashingtonPost columnist and editorial writer (focused on the economy) | Proud Pennsylvanian | Email: Heather.long@washpost.com,http://pbs.twimg.com/profile_images/1255353438/hlong_normal.jpg,62207,2546
14345113,PostLive,Washington Post Live,Titans. Newsmakers. Game Changers. The conversations you won't hear anywhere else.,http://pbs.twimg.com/profile_images/1435726523605164035/YwX8Dk7-_normal.jpg,30356,882
1331693911920832515,OneTen,OneTen,"Upskilling, hiring and advancing one million Black individuals over the next 10 years into family-sustaining jobs.",http://pbs.twimg.com/profile_images/1349007363332825090/Ax09Zh7e_normal.jpg,2220,84
1327364833566724096,DrTarikaBarrett,Dr. Tarika Barrett,"CEO @GirlsWhoCode. Educator, Activist, Craft whiz, Party and cake boss, Mom to two lovely kids and our pup Miki. She/Her",http://pbs.twimg.com/profile_images/1359527216141377538/p47cRMmt_normal.jpg,3735,752
216025220,Chancellor_Juan,Chancellor Salgado,"The official Twitter account for the Chancellor of @ChiCityColleges, Juan Salgado.",http://pbs.twimg.com/profile_images/859016486249267200/AK_o6BTg_normal.jpg,2790,976
