id,screen_name,name,description,image,followers_count,friends_count
414399556,MarkVHurd,Mark Hurd,"Mark Hurd was CEO of Oracle Corporation, where he led Oracle’s cloud transformation and grew the salesforce. He was devoted to tennis and a Baylor alumni.",http://pbs.twimg.com/profile_images/743899123288408064/5pL8tczc_normal.jpg,148062,69
37758023,FSLanai,FS Resorts Lāna‘i,Welcome to Lāna‘i by Four Seasons. Follow us on Twitter for up-to-the-tweet news and updates. #lovelanai,http://pbs.twimg.com/profile_images/698296596698533889/jKjEcPb-_normal.png,15090,813
30017071,BNPPARIBASOPEN,BNP Paribas Open,"Welcome to #TennisParadise. The largest international tennis tournament outside of the Grand Slams. BNPPO22 March 7-20, 2022 🌴",http://pbs.twimg.com/profile_images/876955673937846272/1gTU0sZu_normal.jpg,166422,407
18990686,PeninsulaHumane,PHS/SPCA,"A private, AAHA-accredited non-profit, finds homes for 100% of our healthy dogs & cats, houses a renowned wildlife rehab center, and other vital programs.",http://pbs.twimg.com/profile_images/866714820757901312/Idp--mDJ_normal.jpg,4671,1235
20477852,CAWildlife,CA Wildlife Center,"Committed to creating a healthy, sustainable planet that values all life. Protection of all native wildlife through rehabilitation, education and conservation.",http://pbs.twimg.com/profile_images/1009482593824210944/9NzLRSjS_normal.jpg,2856,1640
36801904,AudreyCavenecia,Audrey Cavenecia,Cohost with @PeteCarroll on #AmplifyVoices. Host of #Unlikely. Chief Content Officer and award-winning #PodcastProducer for Pete Carroll's media company.,http://pbs.twimg.com/profile_images/1445604652121149449/-Cei0fU6_normal.jpg,18205,4623
42658749,officialdfoster,officialdfoster,"The Official Profile For David Foster (Producer, Performer, Songwriter, Musician and Composer)",http://pbs.twimg.com/profile_images/2340425370/u8uria7co915pnvnva3q_normal.jpeg,96857,144
5562702,OracleDevs,Oracle Developers,Oracle Developers is a community for developers by developers,http://pbs.twimg.com/profile_images/1171441562984673281/DUgeuwO__normal.jpg,111145,731
52744922,OracleCloudHCM,Oracle Cloud HCM,"The solution of choice for more than 18,000 Oracle customers, 8 of the top 10 Fortune 500 companies, and 30 of the top 40 innovative companies.",http://pbs.twimg.com/profile_images/1386622496607199235/hOy7-xS2_normal.png,42814,1218
42763598,OracleConnect,Oracle Connect,"Oracle news, views, and how-tos, delivered straight to your inbox.",http://pbs.twimg.com/profile_images/1250208848230731778/7w-tA-4v_normal.jpg,66706,267
29811521,IslandAirHawaii,Island Air,,http://pbs.twimg.com/profile_images/620992723554861057/qu99ObV4_normal.jpg,3817,357
2420695920,lanaidff,Lanai DFF,Responsible Storytelling for Change,http://pbs.twimg.com/profile_images/489830132400406528/WnSqVQ4O_normal.jpeg,134,24
555346085,NikitaKahn,Nikita Kahn,,http://pbs.twimg.com/profile_images/1369887440186445824/BhqOgpUB_normal.jpg,586,52
125485258,java,Java,The official page of the #1 programming language and development platform.,http://pbs.twimg.com/profile_images/1410016948977422337/rKU8iR89_normal.png,501654,591
809273,Oracle,Oracle,"Leading the cloud. From intelligent business applications to infrastructure, we deliver tomorrow’s emerging technologies today, like the autonomous database.",http://pbs.twimg.com/profile_images/1448975437246255105/cc989Pmx_normal.jpg,788809,985
50393960,BillGates,Bill Gates,Sharing things I'm learning through my foundation work and other interests.,http://pbs.twimg.com/profile_images/1414439092373254147/JdS8yLGI_normal.jpg,56767236,344
21010243,OracleDatabase,Oracle Database,"Available on-prem or in the cloud, #OracleDatabase enables you to simplify relational #database environments and reduce management workloads. #thinkautonomous",http://pbs.twimg.com/profile_images/1171795324484096000/a5nof--c_normal.jpg,181228,228
58560480,MichaelDell,Michael Dell,Self-employed Grateful #PlayNiceButWin https://t.co/3JiGiM7t3C,http://pbs.twimg.com/profile_images/1475147187172483076/9i6PbU06_normal.jpg,657503,3510
15900143,csaban,Cheryl Saban,"Hand-blown Glass Artist, Nature-lover, advocate for the positive - follow me on https://t.co/iwYJJIfpSv",http://pbs.twimg.com/profile_images/1146788563301699584/cWQo7-mg_normal.jpg,3026,2658
262538803,PhillipsCE,Charles Phillips,,http://pbs.twimg.com/profile_images/1311730159641333764/reULvF9B_normal.jpg,6282,1280
