created_at,full_text,retweet_count,favorite_count,screen_name
Sun Jan 16 20:55:51 +0000 2022,RT @Benioff: Today AppExchange passed 10M installs! Thank you to our partners &amp; ISVs for all you do for our Salesforce economy. I’d like to…,21,0,Benioff
Sun Jan 16 20:19:49 +0000 2022,RT @Benioff: I am so grateful to the tremendous work by the team @Time. They transformed a 100 year old media brand into an amazing growth…,20,0,Benioff
Sun Jan 16 20:14:47 +0000 2022,RT @afujimura: 2018年、Salesforce創業者のMarc Benioff氏夫妻に買収され、分割され単体事業となったTIMEが絶好調に。CEO兼編集長Edward Felsenthal氏およびBenioff氏がそれぞれコメント。同誌は過去10年で最高売上へ成…,5,0,Benioff
Sun Jan 16 19:55:55 +0000 2022,"RT @Benioff: Please pray with me tonight for friends, family, &amp; Ohana in Tonga. The internet is down &amp; we do not know about the devastating…",36,0,Benioff
Sun Jan 16 19:55:45 +0000 2022,RT @Benioff: Humbled by Dr. @BerniceKing &amp; @TheKingCenter in 2022 “Salute To Greatness Corporate Social Impact Award.” Business is the Grea…,15,0,Benioff
Sun Jan 16 19:52:29 +0000 2022,RT @DrSianProctor: One year ago I moved using my Mini Cooper this time I’ve got my  @FordMustang Mach-E. What a difference!! I LOVE having…,20,0,Benioff
Sun Jan 16 09:47:09 +0000 2022,"RT @IPBES: ""That’s what @JaneGoodallInst does these days.

She talks. To anyone who will listen. To children, chief executives &amp; politician…",131,0,Benioff
Sun Jan 16 07:15:01 +0000 2022,RT @EarthquakeChil1: Volcán submarimo en Oceanía  Hunga Tonga Hunga Ha'apai. Se aprecia claramente la columna de ceniza y la interacción de…,2245,0,Benioff
Sun Jan 16 07:11:21 +0000 2022,"Please pray with me tonight for friends, family, &amp; Ohana in Tonga. The internet is down &amp; we do not know about the devastating impact of the volcano &amp; tsunami. May the One who brings Peace &amp; Safety please bring Peace &amp; Safety to the beautiful people of Tonga.  ❤️ https://t.co/MiCpvTjNBh",36,460,Benioff
Sun Jan 16 06:59:24 +0000 2022,"RT @Will4Planet: 2 hrs before the volcanic eruption in Tonga, &amp; a week earlier (7th Jan)— vast change. Awaiting post eruption shot.

RT @pl…",94,0,Benioff
Sun Jan 16 05:51:47 +0000 2022,RT @Benioff: I just never really understood how powerful &amp; also young Dr King was until I saw new Time Cover&amp; VR experience which tours mus…,21,0,Benioff
Sun Jan 16 05:51:27 +0000 2022,"RT @Benioff: “Injustice anywhere is a threat to justice everywhere.""
-Dr. Martin Luther King, Jr. https://t.co/pQJc8AV29K",127,0,Benioff
Sun Jan 16 05:51:16 +0000 2022,"RT @Benioff: Faith is taking the first step even when you don’t see the whole staircase.  Martin Luther King, Jr. https://t.co/UjLZUA8r0b",132,0,Benioff
Sun Jan 16 05:49:37 +0000 2022,Humbled by Dr. @BerniceKing &amp; @TheKingCenter in 2022 “Salute To Greatness Corporate Social Impact Award.” Business is the Greatest Platform For Change &amp; will always remember our responsibilities to the communities We serve &amp; the Equality &amp; Dignity of All. My comments 1:25:30. ❤️ https://t.co/P9xx82VUW5,15,94,Benioff
Sun Jan 16 05:27:24 +0000 2022,RT @TheKingCenter: 2022 Beloved Community Awards https://t.co/9jrMp1rn1R,114,0,Benioff
Sun Jan 16 05:18:26 +0000 2022,"RT @TheKingCenter: Congratulations, @salesforce! 

#BelovedCommunityAwards #MLKDay #TheKingCenter https://t.co/ZoCydxSLSs",28,0,Benioff
Sun Jan 16 03:24:08 +0000 2022,"RT @Benioff: Allowing exemptions to testing, ⁦@larrybrilliant⁩ said Hawaii is a destination for every variant in the world. Funding for air…",11,0,Benioff
Sun Jan 16 03:23:58 +0000 2022,"RT @Benioff: You are right @KanielaIng tourists are flying into Hawaii &amp; there is no testing pre arrival or post arrival or inter island, t…",10,0,Benioff
Sun Jan 16 03:08:59 +0000 2022,RT @Benioff: Thanks Chief Ranger @JoePoch ! 🤠 https://t.co/cK8KMGrMz7,2,0,Benioff
Sun Jan 16 03:08:16 +0000 2022,"RT @Benioff: Trust &amp; Safety are our highest values. Why we delivered 60M pieces of PPE to local communities, landed 8 planes with medical s…",14,0,Benioff
Sun Jan 16 03:07:17 +0000 2022,I am so grateful to the tremendous work by the team @Time. They transformed a 100 year old media brand into an amazing growth company! They have proved how business is the greatest platform for change. Thank you for supporting Time. ❤️ ⁦@danprimack⁩  https://t.co/DSbZ7aWfWp,20,190,Benioff
Sun Jan 16 03:03:14 +0000 2022,RT @Benioff: We handle pandemics in our country the same as tsunamis: we drive by &amp; let’s you know it’s coming &amp; you can stay in the water…,15,0,Benioff
