created_at,full_text,retweet_count,favorite_count,screen_name
Wed Jan 12 19:32:22 +0000 2022,"To successfully recruit diverse talent, leaders must be clear on why this is important. I authentically believe I get a better team, products &amp; ideas. Your reasoning can be different, but it must exist to make this type of hiring successful &amp; authentic to your company’s core. https://t.co/IkfvM43wrT",8,39,GinniRometty
Fri Jan 07 20:56:04 +0000 2022,"In 2019 I spoke at #CES about what comes next in technology. At the time, that included the future of deep data, AI and quantum, and preparing society for this new tech era. 

In 3 more years, what technology do you predict will be critical for society and our businesses? https://t.co/q2ePWvkwjE",4,21,GinniRometty
Tue Jan 04 17:52:47 +0000 2022,"A partnership should benefit both sides. For founders considering partnerships, think about what a partner wants out of the relationship. When at @IBM, we carefully crafted partnerships to build belief and test how the market would react before actually acquiring a company. https://t.co/CtY9qrt0Ls",8,50,GinniRometty
Mon Jan 03 18:34:58 +0000 2022,"RT @OneTen: Co-chairs Ken Frazier and @GinniRometty say it best: after an incredible year of progress, this is only the beginning for OneTe…",3,0,GinniRometty
Wed Dec 29 17:58:33 +0000 2021,"@HarvardBiz Black and female talent is more scarce in AI than it is in the tech industry as a whole. If we want to improve our workforces, it will be critical to look for and develop talent in new and underserved communities.",1,6,GinniRometty
Fri Dec 17 00:21:18 +0000 2021,"@byHeatherLong The past 2 years have been incredibly challenging for workers. Across all sectors, skills-first training will be critical for both workers and businesses to create new economic opportunities moving forward.",1,8,GinniRometty
Wed Dec 15 20:21:34 +0000 2021,"Successful founders should work with partners, teams and board members who can supplement their weaknesses.

As the @Enginexyz’s Visiting Innovation Fellow at @MIT, I shared advice with the next generation of leaders and founders, and now with all of you. https://t.co/3oxUvIfjID",6,24,GinniRometty
Fri Dec 10 17:46:44 +0000 2021,"@HarvardBiz Leaving a new job is challenging, especially in a pandemic. The Great Resignation has caused many employees to reconsider their roles and career goals. For those thinking about the risk, I recently shared my advice: https://t.co/EWpD73tCCM",0,2,GinniRometty
Fri Dec 10 14:57:49 +0000 2021,I'm proud to be co-chair of @oneten and break down barriers keeping Black talent on the sidelines. In just a year we’ve made strides toward equitable change across dozens of industries and it’s only the beginning. Learn more about our progress in 2021: https://t.co/YxefZsSpHN https://t.co/YNtQVNhdvT,18,38,GinniRometty
Tue Dec 07 15:00:16 +0000 2021,"@CISAJen You’re right - cyber and ransomware attacks are on the rise, and people need to know how to protect themselves and their workplaces. That’s why I recently wrote about 3 basic security steps to keep in mind: https://t.co/TMTQ68IMzk",0,2,GinniRometty
Tue Dec 07 14:17:36 +0000 2021,"Congratulations to those recognized on the 2022 @Forbes #30Under30 Enterprise Technology List. As leaders, I encourage you to be responsible tech stewards and foster inclusive workplaces — both are critical for society and your organization’s success. https://t.co/Iuu6MjO3GN",4,14,GinniRometty
Wed Nov 24 20:04:42 +0000 2021,"@profwolff COVID-19 caused millions of workers to re-evaluate their personal and career goals. Moving forward, it will be critical for businesses to collaborate with their employees on new ways of working. I recently shared this and other pandemic lessons: https://t.co/2R1MXUfm3R",0,3,GinniRometty
Mon Nov 22 20:54:03 +0000 2021,"@ChuckDBrooks Cyberattacks are on the rise, especially with hybrid workforces. I recently shared the basic, yet critical steps we can take to protect our organizations: https://t.co/TMTQ68IMzk",0,3,GinniRometty
Mon Nov 22 20:49:40 +0000 2021,"@joemckendrick This is both a challenge and a great opportunity. In the midst of the #GreatResignation, organizations are challenged to expand their search for recruits, which presents an incredible opportunity to hire more diverse talent.",0,3,GinniRometty
Mon Nov 22 20:49:00 +0000 2021,"@PostLive @morningmika COVID-19 showed us that what works for one employee may not for another. Leaders must collaborate with their teams to find the best ways to work — whether remote, in person, or a mix of both. I recently shared this, and more lessons from the pandemic: https://t.co/2R1MXUfm3R",0,0,GinniRometty
Wed Nov 17 19:29:45 +0000 2021,"Taking on a new job is always a challenge, but even more so during a pandemic. For those of you who’ve changed jobs since the pandemic began, what have you learned that’s important for others to think about? https://t.co/kvHTvf5P9x",9,35,GinniRometty
Mon Nov 15 17:21:43 +0000 2021,The impacts of the pandemic and non-inclusive workplaces are exacerbating the #GreatResignation. We have an opportunity to make our businesses better now and for the long term by recruiting diverse talent and fostering an inclusive culture. https://t.co/vtojnDz2Iy,4,13,GinniRometty
Mon Nov 15 15:19:02 +0000 2021,"@OneTen @GuildEducation Welcome to the team, @GuildEducation. We’re looking forward to working together to train and hire one million Black Americans over the next 10 years together.",0,1,GinniRometty
Mon Nov 15 15:17:15 +0000 2021,"@IndraNooyi I could not agree more, Indra. I always say, diversity is a number and inclusion is a choice.",0,5,GinniRometty
Fri Nov 12 15:12:03 +0000 2021,"I was one of the only women in my engineering classes at @NorthwesternU. Today women earn 53% of STEM degrees. Thank you @IBM, for supporting STEM education at @NorthwesternEng — A place that made my career, and the careers of many other women, possible. https://t.co/SLTgDLO0iJ",36,250,GinniRometty
Fri Nov 12 15:11:20 +0000 2021,"@NUAlumni @IBM @NorthwesternEng I am so grateful for @IBM’s generous gift — @NorthwesternU and @NorthwesternEng were critical in shaping my passion for education and technology, and for my career at IBM.",1,9,GinniRometty
Tue Nov 09 22:04:08 +0000 2021,"With many people changing jobs during the #GreatResignation, I shared some of the lessons learned during my 40-year career @IBM.

Now I want to know: what other career advice can you share for people thinking about changing jobs? https://t.co/H6QEBGreAU",9,42,GinniRometty
Mon Nov 08 14:46:06 +0000 2021,"@guardian The pandemic caused many workers to reconsider their priorities and goals, and many people are unsure of what’s next. For those considering a change, I shared the advice I learned from my own career at @IBM: https://t.co/EWpD73tCCM",0,2,GinniRometty
Mon Nov 08 14:41:33 +0000 2021,"@avrohomg @NETSCOUT @TylerCohenWood @ChuckDBrooks @EvanKirstel @AkwyZ Prioritizing data protection and cyber security is critical to keep our organizations safe. With cyber attacks on the rise, I also shared steps to prevent and recover from attacks: https://t.co/TMTQ68IMzk",4,10,GinniRometty
Wed Nov 03 17:30:37 +0000 2021,"The past two years have been eye-opening for millions of workers — many have reevaluated their priorities and career goals. As we face a #GreatResignation, I’ve decided to share the advice I learned in my career to help those struggling with what’s next. https://t.co/ljRFCYOifS",17,49,GinniRometty
Fri Oct 29 13:23:22 +0000 2021,@TRIResearch_ @SiennaEthics With new technology comes the responsibility to understand and prepare for all of its uses — the good and the bad.,0,1,GinniRometty
Fri Oct 29 13:07:17 +0000 2021,It was a pleasure to join @_SueSiegel and @Enginexyz’s Tough Tech Summit and share the lessons I learned in my career with young entrepreneurs. An authentic belief in diversity and inclusion will make you a better company. https://t.co/s7YLgy7srG,4,19,GinniRometty
Mon Oct 25 21:09:20 +0000 2021,"@TechNative @corixpartners Hybrid work environments have blurred the lines between home and work, and can lead to increased vulnerability to cyber attacks. I shared my tips for preventing and recovering from attacks in a recent article: https://t.co/TMTQ68IMzk",7,7,GinniRometty
Mon Oct 25 21:08:40 +0000 2021,"@ciscoapac @kerrymsingleton With cyber and ransomware attacks on the rise, companies must not lose sight of security basics. Thanks for sharing your tips — I shared a few of mine in a recent article: https://t.co/TMTQ68IMzk",0,2,GinniRometty
Mon Oct 18 21:04:19 +0000 2021,"@CTVAtlantic I am thrilled to see @PTECHNETWORK and @IBMCanada supporting Indigenous students. This relationship will be good for these students, their communities, and the businesses who will benefit from their perspectives.",4,17,GinniRometty
Mon Oct 18 21:03:38 +0000 2021,"@gcluley Because data and privacy are more important than ever, it is critical for organizations to prepare their networks for cyber and ransomware attacks. I recently wrote about the basic steps every organization can take: https://t.co/TMTQ68IMzk",0,2,GinniRometty
Mon Oct 18 14:55:45 +0000 2021,"At @IBM, I learned that skills and a desire to learn were far more important for success than a college degree. Removing barriers to enter the workforce will create more economic opportunities, while also making our businesses better. https://t.co/lNfAZllskX",20,65,GinniRometty
Mon Oct 11 20:15:19 +0000 2021,@EdWeekEdTech @Larryferlazzo Digital technology became critical to education during COVID-19. It must continue to be accessible and part of our education system to not deepen the digital divide in the years to come.,0,2,GinniRometty
Mon Oct 11 18:48:53 +0000 2021,"@byHeatherLong As we continue to learn from the impacts of COVID-19, now is the time to make changes that better support our employees and their families. https://t.co/O7lSK28Q4y",0,1,GinniRometty
Mon Oct 11 14:59:23 +0000 2021,"@WhiteHouseCEA While the economy and workforce are recovering from COVID-19, the September #JobsReport shows businesses are struggling to bring back workers. The pandemic made clear our workplaces need to change. Businesses must cocreate with their employees to find the right solutions.",0,0,GinniRometty
Mon Oct 11 14:57:51 +0000 2021,"We know the pandemic has disproportionately impacted women, and specifically women of color, in the workforce. As employers, we need to consider how we can better support women throughout their careers because they are critical for our economy. https://t.co/b6AexBB0L0",10,23,GinniRometty
Mon Oct 04 13:30:13 +0000 2021,"@DrTarikaBarrett @GirlsWhoCode @CISAgov This is great news, @DrTarikaBarrett! Non-traditional career pathways are critical in creating a more diverse workforce, particularly for cybersecurity and #WomeninSTEM. — Here I wrote about how we integrate recruits without traditional 4-year degrees: https://t.co/ki9AR2omAP",0,0,GinniRometty
Mon Oct 04 13:25:19 +0000 2021,"@liseeng @IBM I’m so happy these lessons resonated with you. My time at @IBM was invaluable, and it taught me when challenges arise we must act. The pandemic has been the ultimate challenge.",1,1,GinniRometty
Fri Oct 01 18:19:50 +0000 2021,"@IndraNooyi @davepuente Thank YOU, Indra, for sharing your story of #MyLifeInFull. And congratulations on your book. I can’t wait to read about the many challenges you’ve had to overcome — in your life &amp; your career — and to see what comes next for one of the most impressive &amp; accomplished women I know.",0,6,GinniRometty
Fri Oct 01 13:55:52 +0000 2021,@sloan_kettering Thank you #MSKHealthcareHeroes for being important role models. It’s so important to uplift doctors to show young women and girls where careers in #STEM can lead.,0,1,GinniRometty
Tue Sep 21 18:07:50 +0000 2021,"If it’s a problem that can’t be fixed, then you should move on. But you still want to make sure that your next job is one you’re excited and passionate about.",2,13,GinniRometty
Tue Sep 21 18:07:50 +0000 2021,"Or are you running FROM a bad work environment? Do you feel frustrated by a bad boss, a tough schedule, or just feel stuck in place? At a good company, these issues are often temporary, and may be resolved if you pause and try to address the issue.",3,15,GinniRometty
Tue Sep 21 18:07:49 +0000 2021,"People often ask for my advice when they’re thinking about changing jobs. My response is always to ask them the same question: Are you running TO a new opportunity that really excites you? If so, that’s great. #GreatResignation https://t.co/rzeFzmGfgI",10,55,GinniRometty
Fri Sep 17 22:34:15 +0000 2021,@USDOL @BLS_gov Diversity is a number; inclusion is a choice. Integrating workers of different backgrounds must be done with an authentic belief that it will make you a better company - because it will. #HispanicHeritageMonth,0,1,GinniRometty
Thu Sep 16 15:47:14 +0000 2021,My friend @mtbarra is an agent of change. Her power lies in empowering others. She urges women to go for it. I can think of no one more deserving of the honor of #TIME100. https://t.co/iFqkX40s00,1,30,GinniRometty
Tue Sep 14 14:36:15 +0000 2021,The idea of spending nearly 40 years at one company is probably unthinkable for many workers today. My advice from a career @IBM is to do what you love and work with a company whose purpose aligns with your own. https://t.co/LAiETlwrQe,29,202,GinniRometty
Tue Sep 07 17:41:35 +0000 2021,"School is about more than just learning for learning’s sake; it’s an opportunity to learn how to solve problems. No matter what you do in life or what career you choose, problem solving will be the core of your work. #BackToSchool https://t.co/ZvaZF3jO6y",8,28,GinniRometty
Thu Sep 02 19:19:50 +0000 2021,"@NorthwesternU I’m so proud to see my alma mater taking on this challenge. To create a more diverse and successful industry, we need to change paradigms to make careers in STEM accessible to people of all backgrounds.",0,5,GinniRometty
