created_at,full_text,retweet_count,favorite_count,screen_name
Sun Jan 16 21:15:27 +0000 2022,@ivanariasduran Gracias Negro querido.  Sigue adelante.,0,34,marceloclaure
Sun Jan 16 17:13:20 +0000 2022,"RT @CristhianStuani: Hasta aquí llegamos en #CopaDelRey 
Gran esfuerzo de todos y luchando hasta el final @GironaFC 
A pensar en lo que vie…",16,0,marceloclaure
Sun Jan 16 17:13:07 +0000 2022,"Been meaning to go to @ZuckersBagels to try their smoked salmon, cream cheese, whole wheat bagel. Worth all the wait. Amazing.  What are you eating now ? https://t.co/lnKiQZDDxM",2,38,marceloclaure
Sat Jan 15 20:43:49 +0000 2022,Sin palabras 💙⚽️ https://t.co/ggsyMDiw7s,40,676,marceloclaure
Sat Jan 15 14:37:10 +0000 2022,"RT @LoveJonesDove: So after having travelled through several countries over the course of the last 7 months, gotta say that @WeWork has bee…",4,0,marceloclaure
Fri Jan 14 19:08:14 +0000 2022,This is amazing. America is a land of immigrants but even more when it comes to Entrepreneurship.  🇺🇸 https://t.co/ksxphfTI8q,16,68,marceloclaure
Fri Jan 14 17:05:20 +0000 2022,RT @bhash: Thanks so much for the partnership and support @marceloclaure! Still remember the night in Tokyo when we put the plan on a white…,22,0,marceloclaure
Fri Jan 14 12:46:40 +0000 2022,And it continues…… Rio de Janeiro’s Mayor to Invest 1% of The City’s Treasury in Bitcoin https://t.co/VyD1eq24ZZ,2,36,marceloclaure
Fri Jan 14 12:36:47 +0000 2022,I am so proud of you @bhash   This is so impressive. I still remember sitting with you when this was just an idea.   #EXECUTION is the key to success. @OlaElectric https://t.co/Cgotp7edHv,9,87,marceloclaure
Fri Jan 14 12:33:12 +0000 2022,#UnidosSomosMasGrandes @Bolivar_Oficial ⚽️⚽️💙💙,9,327,marceloclaure
Fri Jan 14 04:18:31 +0000 2022,My little 6 year old boss at the game tonight https://t.co/uynR7ZRGLb,2,131,marceloclaure
Thu Jan 13 21:21:20 +0000 2022,After 9 days of testing positive - finally I am #COVID negative.  🙏 thanks 🙏 for all your nice messages. https://t.co/j8kxWtkDTf,10,887,marceloclaure
Thu Jan 13 16:49:32 +0000 2022,"RT @pbarbieri: Honored to see this on the paper @FT. Thank you! 
""Latin America has long been held back by those who talk about freedom jus…",10,0,marceloclaure
Thu Jan 13 16:49:14 +0000 2022,RT @WeWork: Get an insider view of how the #WeWork design team creates our unique spaces: https://t.co/vJEj3DaD3E,3,0,marceloclaure
Thu Jan 13 16:48:53 +0000 2022,"RT @OpportunityFund: .@BusinessInsider shared a list of Black women who raised $1M+ in VC, a list we hope to see continue ⬆️growth. Include…",4,0,marceloclaure
Thu Jan 13 16:39:49 +0000 2022,Si se puede.  Todo es posible.,12,321,marceloclaure
Thu Jan 13 14:00:21 +0000 2022,@FrancisSuarez Like to be called investor !!,0,25,marceloclaure
Thu Jan 13 11:47:03 +0000 2022,RT @AlejandroPazEs2: @marceloclaure Me siento tan privilegiado de poder ser socio dorado y abonado en preferencia! Es un orgullo respirar l…,2,0,marceloclaure
Thu Jan 13 11:45:57 +0000 2022,"RT @Yalmar_G: @marceloclaure @marceloclaure @Bolivar_Oficial Dos Socios Platino en casa mas dos abonos extra este año 💙💙💙
Familia celeste a…",1,0,marceloclaure
Wed Jan 12 22:43:28 +0000 2022,"RT @WinSportsTV: #GolesWin Mira aquí los goles del triunfo de Bolívar frente a Santa Fe

https://t.co/57qqUEH2Td https://t.co/VL9hkEezKx",18,0,marceloclaure
Wed Jan 12 22:22:17 +0000 2022,"RT @Fabricio_FABO: @marceloclaure Orgulloso Socio Dorado y Abonado en Butaca muy pero muy ilusionado por los reajustes que se hicieron, @ac…",3,0,marceloclaure
Wed Jan 12 22:21:48 +0000 2022,"RT @vladdyvillegas: @marceloclaure Háganse socios, este año tendremos, a parte de los partidos de Liga, al menos 8 partidos internacionales…",1,0,marceloclaure
Wed Jan 12 22:17:11 +0000 2022,@bratan1560 @Bolivar_Oficial Y 4to?,0,3,marceloclaure
Wed Jan 12 22:14:02 +0000 2022,Exactamente! Ya es hora de que todos apoyemos. A mis queridos socios mándenme su tarjeta. Y a los que sé hagan socios entre hoy y mañana organizamos una llamada para charlar del equipo y lo que está pasando en Colombia. https://t.co/EJRYNVNfYT,11,215,marceloclaure
